 1199 -2918 1457     -13 115 -8     -7 8 -10 
 2551 2418 -1471     -106 -108 39     -6 -5 6 
 -73 1626 1321     58 -118 -8     -6 2 -9 
 -3297 -894 -551     183 31 -61     3 3 11 
 -1425 4298 617     32 -166 -32     7 -12 -1 
 -3718 877 1043     114 7 -20     10 -6 -4 
 -2089 -239 1142     52 12 3     7 0 -7 
 782 994 3311     16 -28 -32     -6 -3 -16 
 -937 2596 -109     -12 -117 -13     7 -3 2 
 -865 -2930 -1387     60 76 -56     -1 9 14 
 1196 -3308 2564     -26 59 0     -4 13 -15 
 -271 1957 -2944     8 -15 40     1 -10 13 
 -964 1228 1583     18 16 -12     4 -9 -8 
 -1639 1174 1970     84 -114 -138     1 5 3 
 -1840 1679 -1764     44 -20 91     8 -10 2 
 1104 -233 140     -21 -11 -28     -6 3 2 
 1136 -361 -3100     -40 14 98     -4 1 11 
 1480 -265 -1412     -36 42 18     -7 -3 8 
 144 -1217 -660     39 25 56     -6 6 -2 
 360 295 276     -51 -95 -11     3 9 -1 
 -2656 487 1228     78 12 -11     10 -5 -8 
 -1400 2295 -204     -9 -67 53     11 -9 -5 
 -1016 -769 -52     1 14 120     7 4 -14 
 1536 4167 -940     -99 -201 82     0 -7 -3 
 2398 3917 2412     -69 -51 -81     -3 -10 -2 
 -3283 536 733     46 72 -32     8 -8 0 
 -247 1180 -2901     46 -52 -18     -3 0 12 
 -2984 -499 -1475     -3 57 -8     11 -3 6 
 -431 2008 -3890     54 -40 49     -3 -4 10 
 2904 -775 -3614     5 -3 97     -11 3 5 
 2697 -1074 3401     38 70 -28     -13 -2 -10 
 -1259 1456 595     42 8 34     1 -6 -5 
 -1293 5020 -2110     -12 -199 93     7 -5 1 
 -1753 -1520 -320     -10 44 14     9 3 0 
 -2143 1040 -2220     83 -42 109     2 -1 0 
 -203 3210 -530     -56 -98 35     6 -6 -1 
 3017 -3820 290     -154 96 -6     0 9 -1 
 -1195 -180 -289     93 -30 -2     1 6 4 
 371 1368 953     -18 -16 -125     -2 -16 7 
 -1777 -426 -523     187 -16 24     -6 7 3 
 -2635 690 -1177     148 -83 59     11 3 6 
 431 -366 -1333     -62 18 124     4 1 -2 
 -2311 -750 143     147 11 -51     7 7 6 
 -151 354 -85     97 -29 -84     -13 -1 14 
 -325 -1602 779     -25 56 -13     8 11 -8 
 -385 -204 467     -7 37 0     6 -4 -6 
 665 -1272 -1195     -10 35 80     -7 10 3 
 -2525 7592 -6216     43 -14 0     1 -9 8 
 -68 4433 8721     -120 -113 -63     6 0 -8 
 -6971 -91 -561     -43 3 15     11 0 0 
 -2876 806 -8478     72 -60 58     0 2 8 
 -7907 4004 258     61 -42 -46     7 -3 2 
 -4358 6773 5523     50 -73 39     3 -5 -9 
 1941 1823 224     -102 -73 -54     1 -1 4 
 -1440 -1768 224     70 87 67     0 0 -7 
 -1776 3125 2870     20 -58 -4     6 -8 -12 
 1437 -697 -5635     -12 25 115     -5 1 14 
 -3603 -151 2366     30 -89 31     13 9 -13 
 -264 4805 3857     3 -105 -40     1 -11 -13 
 -831 -823 140     52 -35 5     -1 7 -1 
 2970 -634 1085     -52 110 -18     -8 -7 -3 
 1755 -4503 -1198     -18 102 8     -4 6 3 
 -4945 572 1727     42 -101 -5     12 6 -5 
 -70 5047 -2023     3 45 54     0 -19 2 
 -2845 4372 -2598     75 -110 116     3 -5 -1 
 -345 -228 -1898     -38 61 88     4 -4 -1 
 -2720 3622 1727     109 -2 -83     0 -11 1 
 -4045 -3228 -2448     -7 116 -7     13 1 8 
 580 3347 802     -10 48 19     -1 -14 -4 
 -1910 2875 1236     71 -54 88     -1 -1 -6 
 -2963 -6485 2406     -102 86 -42     9 4 -1 
 -18875 7633 -7890     86 -76 82     20 -6 6 
 391 9505 4980     -8 76 -108     0 -16 -1 
 -935 5800 -1533     -114 -129 59     7 -1 -1 
 -272 -7733 12858     69 18 10     -3 9 -17 
 -7292 613 12741     49 -116 -47     7 5 -14 
 3550 -518 -15339     51 33 73     -7 -1 16 
 4213 -8123 -2157     14 88 55     -6 6 0 
 -7721 418 -17250     80 69 2     6 -4 22 
 1738 -2831 -158     40 35 8     -12 10 0 
 2598 399 782     -66 10 45     -6 -3 -8 
 3068 129 -1558     -58 13 57     -9 -2 2 
 -1782 4139 -3628     -99 -93 171     18 -11 1 
 -1082 -3161 -498     55 83 67     0 7 -4 
 -5302 -1291 772     98 42 -70     16 2 3 
 808 979 232     -50 2 -1     1 -5 -1 
 -152 1479 -8     -86 61 11     9 -13 -1 
 1292 1700 -858     -72 -94 96     -4 -5 -4 
 304 -640 -455     53 -12 72     -11 9 -5 
 486 1063 -689     -52 -66 27     2 -2 4 
 993 -1823 182     -84 30 -47     1 16 5 
 -1230 -1615 -312     52 182 96     6 -8 -10 
 -268 1297 728     20 -105 -40     0 1 -2 
 1476 1697 875     5 -87 -71     -15 -5 1 
 1476 1193 -1813     -85 -51 46     -3 -5 11 
 932 -6376 -4019     -47 24 -82     1 12 14 
 -12763 29 8401     177 -19 -62     16 1 -14 
 5087 6059 1936     -139 -65 76     -2 -9 -9 
 -853 -721 -4889     28 6 40     0 1 8 
 -1288 329 -11219     58 33 96     -1 -3 18 
 1352 -286 4051     -61 38 -10     1 -2 -8 
 2477 -271 -4649     41 -40 32     -8 3 8 
 -1783 -376 -6944     59 41 155     0 -2 5 
 -8728 2204 -1514     27 48 -26     17 -8 5 
 2987 -7276 -1829     -100 54 -31     0 12 6 
 -86 2277 1643     48 -108 -103     -4 0 2 
 -1640 -726 3722     45 24 -48     3 1 -12 
 334 -4947 761     -82 71 -28     6 15 -1 
