../..   ##./##./.##
#./..   .../.#./##.
##/..   .../.##/#.#
.#/#.   ##./#../#..
##/#.   .##/#.#/#..
##/##   ..#/.#./.##
.../.../...   #.../.##./...#/#...
#../.../...   ...#/..../..#./..##
.#./.../...   ..../.##./###./....
##./.../...   ###./#.##/..#./..#.
#.#/.../...   #.../.#../#..#/..#.
###/.../...   ..##/.##./#.../....
.#./#../...   #.##/..../..../#.##
##./#../...   .#.#/.#.#/##../.#..
..#/#../...   .###/####/.###/##..
#.#/#../...   ..../.#.#/..../####
.##/#../...   .##./##.#/.###/#..#
###/#../...   ####/...#/###./.###
.../.#./...   ..##/#..#/###./###.
#../.#./...   ###./..##/.#.#/.#.#
.#./.#./...   ..#./..#./##.#/##..
##./.#./...   #..#/###./..#./#.#.
#.#/.#./...   .###/#.../.#.#/.##.
###/.#./...   #.##/##../#.#./...#
.#./##./...   #.##/#.##/#.##/.###
##./##./...   ..##/#..#/.###/....
..#/##./...   #..#/.##./##../####
#.#/##./...   ###./###./..##/..##
.##/##./...   ###./##.#/.##./###.
###/##./...   ##../#..#/##../....
.../#.#/...   ##.#/..#./..##/##..
#../#.#/...   #..#/.###/.#../#.#.
.#./#.#/...   ####/#.##/.###/###.
##./#.#/...   #.../####/...#/.#.#
#.#/#.#/...   ...#/.#.#/#..#/#.##
###/#.#/...   ###./#.##/##.#/..##
.../###/...   ..../##.#/.#../..##
#../###/...   ####/..##/.##./.###
.#./###/...   #.#./#.#./#.../#..#
##./###/...   #..#/..##/#.##/#.#.
#.#/###/...   .##./##.#/.#../####
###/###/...   ####/##.#/.#../#.#.
..#/.../#..   #..#/#.##/.###/.###
#.#/.../#..   .##./#.../.#.#/....
.##/.../#..   .#.#/.#.#/##../####
###/.../#..   .#.#/.##./####/##.#
.##/#../#..   .###/.###/.###/#...
###/#../#..   ..##/#.../#.#./..#.
..#/.#./#..   #.#./##../##../####
#.#/.#./#..   ..../..##/#..#/..#.
.##/.#./#..   #.##/#..#/##.#/.##.
###/.#./#..   ...#/#.../#.#./.#..
.##/##./#..   .##./#..#/.##./...#
###/##./#..   ##.#/##.#/.##./...#
#../..#/#..   ##../..#./..#./#.#.
.#./..#/#..   #.#./##../#..#/#.##
##./..#/#..   #.##/###./###./.#.#
#.#/..#/#..   ..../...#/...#/#..#
.##/..#/#..   #..#/#.#./..##/.##.
###/..#/#..   ##../.#.#/.#../#.#.
#../#.#/#..   ####/.##./.##./.##.
.#./#.#/#..   ...#/.##./..#./.##.
##./#.#/#..   .#.#/.##./..#./.#.#
..#/#.#/#..   .#../##.#/##../#...
#.#/#.#/#..   .#.#/..#./#.../##..
.##/#.#/#..   ..#./#.#./###./#...
###/#.#/#..   ..../#.#./..##/##.#
#../.##/#..   .##./##../.#../..##
.#./.##/#..   ##../#.#./#.../####
##./.##/#..   ###./###./#.#./..##
#.#/.##/#..   ...#/#..#/..#./###.
.##/.##/#..   ..##/####/..../#.##
###/.##/#..   .#.#/#.../.##./#...
#../###/#..   ..#./.#.#/#..#/.##.
.#./###/#..   ####/..../####/#.##
##./###/#..   .###/..../#.#./####
..#/###/#..   ###./#.#./.#.#/#...
#.#/###/#..   #.#./#.#./..##/.##.
.##/###/#..   #.##/.###/.##./#.##
###/###/#..   #..#/.#../.#../.##.
.#./#.#/.#.   .#../.##./##../..##
##./#.#/.#.   .##./#.##/...#/#.#.
#.#/#.#/.#.   ##.#/###./#.#./..#.
###/#.#/.#.   ..../##../.###/###.
.#./###/.#.   .#.#/.###/..../#..#
##./###/.#.   #.../..#./#..#/.#..
#.#/###/.#.   .#../##.#/##.#/.###
###/###/.#.   #..#/.#.#/#.#./..#.
#.#/..#/##.   .#../.###/...#/#.##
###/..#/##.   ...#/...#/..##/...#
.##/#.#/##.   #.#./###./.##./####
###/#.#/##.   #.#./...#/...#/....
#.#/.##/##.   ###./#.../##.#/..#.
###/.##/##.   .#../#.../.###/.#..
.##/###/##.   #.../..#./..#./.###
###/###/##.   .#../.#../####/###.
#.#/.../#.#   ##.#/##../...#/##.#
###/.../#.#   ###./###./#..#/###.
###/#../#.#   .###/..#./.#../#...
#.#/.#./#.#   ##.#/.##./.#.#/##.#
###/.#./#.#   ...#/...#/#.##/.##.
###/##./#.#   #.../##../#.../....
#.#/#.#/#.#   ####/.#../..##/..##
###/#.#/#.#   ##../####/#.##/..##
#.#/###/#.#   ##../..../..../####
###/###/#.#   .#../.#.#/.###/.#.#
###/#.#/###   ##../####/###./...#
###/###/###   ###./#..#/##../.##.
